,Rank,School,Rating,Win %,Adj win %,SOS,Offense,Defense,+/-,Adj +/-,AP,Logo Match
0,1,LSU,129.3386708,92.30769231,92.48205128,23,17,1,22.53846154,22.71307715,2,LSU
1,2,USC,125.8349582,92.30769231,93.17948718,39,5,16,22.69230769,24.00575467,1,USC
2,3,Oklahoma,116.2095696,85.71428571,81.18095238,45,2,5,27.64285714,21.37381946,3,Oklahoma
3,4,Iowa,114.3416843,76.92307692,76.4,32,37,7,12.53846154,14.81405776,8,Iowa
4,5,Miami (OH),114.8740024,92.85714286,94.96190476,87,1,21,23.57142857,16.36822198,10,Miami__OH_
5,6,Miami,113.2220997,84.61538462,82.52307692,27,49,4,12.69230769,14.59526368,5,Miami
7,7,Michigan,112.9879901,76.92307692,76.4,44,10,9,18.53846154,17.6445807,6,Michigan
8,8,Georgia,112.7121054,78.57142857,76.46666667,11,61,3,12,17.32390503,7,Georgia
9,9,Florida State,112.473308,76.92307692,73.61025641,3,22,8,15.53846154,18.1880749,11,Florida_State
10,10,Kansas State,112.3867345,69.23076923,68.88205128,35,20,6,17.07692308,17.87565476,14,Kansas_State
11,11,Maryland,110.9979523,75,78.96666667,25,35,10,11.58333333,15.62650205,17,Maryland
12,12,Ohio State,109.8092714,84.61538462,82.87179487,14,70,14,7.153846154,11.94566133,4,Ohio_State
13,13,Texas,109.5069867,76.92307692,76.4,54,6,28,19.46153846,14.99086728,12,Texas
14,14,Boise State,107.7850231,92.30769231,93.52820513,117,4,16,23.15384615,9.603082701,16,Boise_State
15,15,Clemson,106.4138359,66.66666667,68.55555556,6,44,20,8.666666667,12.55064011,22,Clemson
16,16,Utah,106.1325823,83.33333333,84.84444444,69,38,19,9.583333333,9.54220511,21,Utah
17,17,Washington State,105.8740649,76.92307692,76.05128205,50,27,22,10.53846154,12.30302811,9,Washington_State
18,18,Tennessee,105.5495146,76.92307692,75.35384615,38,45,16,9.692307692,11.14033754,15,Tennessee
19,19,Minnesota,104.2574013,76.92307692,75.35384615,73,7,30,16.76923077,11.90011668,20,Minnesota
20,20,Ole Miss,103.9974308,76.92307692,77.79487179,57,15,30,12.07692308,9.670203516,13,Ole_Miss
21,21,Nebraska,102.9879733,76.92307692,74.65641026,62,70,2,10.30769231,10.79489127,19,Nebraska
22,22,California,102.2079383,57.14285714,62,29,24,34,9.071428571,11.80172443,NR,California
23,23,Florida,101.9658987,58.33333333,57.38888889,1,56,36,4.916666667,10.25796704,24,Florida
24,24,Arkansas,102.1755236,69.23076923,66.44102564,34,18,43,10.07692308,12.06406668,NR,Arkansas
25,25,Purdue,100.9724385,69.23076923,66.78974359,37,57,11,9.461538462,10.58668543,18,Purdue
26,26,NC State,99.76015441,58.33333333,58.9,9,8,78,5.416666667,11.59199843,NR,NC_State
27,27,Virginia,98.05675624,61.53846154,61.01538462,20,46,24,7.615384615,10.94754178,NR,Virginia
28,28,Oklahoma State,97.94066574,66.66666667,64.4,59,9,69,8.5,8.214269245,NR,Oklahoma_State
29,29,Northern Illinois,97.80135161,81.81818182,79.34545455,116,23,29,9.363636364,1.505861912,NR,Northern_Illinois
30,30,Auburn,97.64887789,58.33333333,59.27777778,10,73,13,7.083333333,9.007630849,NR,Auburn
31,31,Oregon State,97.08071291,58.33333333,54.74444444,41,19,51,8.25,9.374375531,NR,Oregon_State
32,32,Bowling Green,96.52377364,75,72.16666667,71,35,50,4.75,3.639977333,23,Bowling_Green
33,33,TCU,96.43064207,84.61538462,80.43076923,109,32,26,8,1.826192036,25,TCU
34,34,Oregon,96.32894398,61.53846154,59.96923077,43,54,67,0.615384615,4.919388023,NR,Oregon
35,35,West Virginia,96.20292502,61.53846154,64.85128205,52,34,39,6.076923077,7.203418731,NR,West_Virginia
36,36,Connecticut,96.09341627,72.72727273,75.81818182,95,16,58,8.181818182,2.979384594,NR,Connecticut
37,37,Michigan State,95.48902453,61.53846154,57.17948718,48,47,37,5.384615385,7.510421454,NR,Michigan_State
38,38,Virginia Tech,94.96676678,58.33333333,49.45555556,51,11,52,9.833333333,10.85976561,NR,Virginia_Tech
39,39,Texas Tech,94.90185621,61.53846154,58.57435897,55,3,96,8.461538462,7.336465729,NR,Texas_Tech
40,40,Boston College,94.19877872,61.53846154,62.75897436,49,41,55,3,5.834268612,NR,Boston_College
41,41,Marshall,93.69478731,63.63636364,66.93333333,83,50,42,4.363636364,2.481317218,NR,Marshall
42,42,Southern Mississippi,93.44484025,69.23076923,70.27692308,77,78,11,5.153846154,2.059195657,NR,Southern_Mississippi
43,43,Memphis,93.16617064,66.66666667,66.66666667,108,31,23,9.416666667,1.998634657,NR,Memphis
44,44,New Mexico,93.15200466,58.33333333,60.03333333,66,59,45,3.083333333,4.69035505,NR,New_Mexico
45,45,Georgia Tech,92.82588735,53.84615385,53.4974359,15,86,25,0.615384615,6.200462426,NR,Georgia_Tech
46,46,Pittsburgh,92.64860082,61.53846154,56.83076923,60,29,49,6,6.707017491,NR,Pittsburgh
47,47,Missouri,92.06511858,58.33333333,53.23333333,61,28,47,6.25,6.612012633,NR,Missouri
48,48,Wisconsin,90.72918436,53.84615385,49.31282051,33,55,46,3.769230769,7.076399457,NR,Wisconsin
49,49,Louisville,90.54519911,69.23076923,64.6974359,107,12,70,6.846153846,0.958679342,NR,Louisville
50,50,North Texas,90.10072631,69.23076923,72.02051282,114,52,30,5.615384615,-2.194283376,NR,North_Texas
51,51,Navy,89.81710276,63.63636364,62.81212121,115,25,40,8.181818182,0.890012731,NR,Navy
52,52,Toledo,89.28325984,63.63636364,64.04848485,101,26,57,5.272727273,-0.197177553,NR,Toledo
53,53,Colorado State,88.41810713,50,50,46,33,60,3.25,3.958234978,NR,Colorado_State
54,54,Washington,87.17962395,50,49.62222222,53,64,65,-0.333333333,2.679924903,NR,Washington
55,55,Hawai'i,86.34902553,61.53846154,60.66666667,98,14,84,2.769230769,-2.159219729,NR,Hawai_i
56,56,Fresno State,85.93729894,61.53846154,64.15384615,78,83,41,-1.615384615,-3.976833167,NR,Fresno_State
57,57,Air Force,85.13522487,54.54545455,49.80606061,75,69,33,2.818181818,1.341829283,NR,Air_Force
58,58,Syracuse,84.93884518,50,45.08888889,58,58,54,1.583333333,3.65469278,NR,Syracuse
59,59,Tulsa,84.78783909,58.33333333,60.41111111,103,30,74,1.083333333,-3.82673482,NR,Tulsa
60,60,Wake Forest,83.40920023,41.66666667,38.45555556,17,48,75,-1,4.649203432,NR,Wake_Forest
61,61,Notre Dame,82.91260264,41.66666667,41.1,2,91,63,-6,2.303447623,NR,Notre_Dame
62,62,UNLV,82.45867757,50,48.11111111,68,85,38,-1.333333333,-0.990921425,NR,UNLV
63,63,Northwestern,82.42490712,46.15384615,46.32820513,36,92,53,-4.846153846,-0.092728663,NR,Northwestern
64,64,South Carolina,82.07443856,41.66666667,38.07777778,12,80,61,-3.833333333,3.208639004,NR,South_Carolina
65,65,South Florida,81.81574377,55.55555556,55.55555556,97,82,35,-0.666666667,-5.233463359,NR,South_Florida
66,66,UCLA,80.87879468,46.15384615,41.44615385,40,98,43,-4.384615385,-0.445603421,NR,UCLA
67,67,Akron,79.99200121,50,54.30666667,113,21,93,-0.7,-6.817732311,NR,Akron
68,68,Colorado,79.448295,41.66666667,41.1,16,59,92,-6.583333333,-0.774310362,NR,Colorado
69,69,Houston,79.41161785,53.84615385,49.66153846,102,13,104,-1.538461538,-5.402643214,NR,Houston
70,70,San Diego State,79.00131752,40,42.26666667,70,103,15,-1.3,-2.020586731,NR,San_Diego_State
71,71,Rutgers,78.11014258,41.66666667,39.21111111,65,53,77,-2.083333333,-1.291365674,NR,Rutgers
72,72,Alabama,76.91752509,30.76923077,28.85128205,8,66,56,-0.153846154,4.950381772,NR,Alabama
73,73,Kansas,76.31756469,41.66666667,37.32222222,63,39,90,-3.916666667,-2.358907536,NR,Kansas
74,74,Arizona State,75.79846571,36.36363636,34.50909091,28,75,71,-4.545454545,-1.104385081,NR,Arizona_State
75,75,Rice,75.62230652,41.66666667,46.01111111,112,39,83,-2.916666667,-8.18064468,NR,Rice
76,76,Nevada,75.16319901,45.45454545,42.56969697,91,76,72,-5.181818182,-6.947056382,NR,Nevada
77,77,UAB,75.14109855,41.66666667,42.23333333,88,89,47,-3.5,-6.789744156,NR,UAB
78,78,Louisiana Tech,73.90238028,41.66666667,40.72222222,79,65,91,-7,-7.48746976,NR,Louisiana_Tech
79,79,Troy,73.75694541,40,42.72,67,115,62,-12.6,-8.768437821,NR,Troy
80,80,BYU,73.60980748,33.33333333,32.95555556,31,107,59,-9.5,-2.847602484,NR,BYU
81,81,Middle Tennessee,72.08439223,36.36363636,39.04242424,100,42,89,-3.818181818,-8.807935665,NR,Middle_Tennessee
82,82,Western Michigan,71.71676695,36.36363636,36.98181818,81,68,82,-6.454545455,-8.034774891,NR,Western_Michigan
83,83,Penn State,71.52394749,25,25.56666667,30,97,27,-1.833333333,0.584937027,NR,Penn_State
84,84,Kent State,71.37588655,36.36363636,38.21818182,82,50,99,-7.090909091,-9.221289353,NR,Kent_State
85,85,Cincinnati,70.42607082,36.36363636,30.38787879,80,72,68,-2.090909091,-5.145407475,NR,Cincinnati
86,86,Stanford,70.41533097,36.36363636,29.97575758,24,102,76,-12.54545455,-4.835562926,NR,Stanford
87,87,Tulane,70.07683831,36.36363636,36.56969697,89,43,105,-8.181818182,-9.885607573,NR,Tulane
88,88,Texas A&M,70.05657799,33.33333333,29.93333333,21,67,111,-13.41666667,-6.63883053,NR,Texas_A_M
89,89,Kentucky,69.94136834,27.27272727,25.21212121,64,62,72,-2.181818182,-1.296676103,NR,Kentucky
90,90,Duke,69.79912082,27.27272727,28.92121212,4,105,80,-14.36363636,-4.81997169,NR,Duke
91,91,Wyoming,67.43242899,27.27272727,26.44848485,56,74,86,-7.727272727,-5.969530562,NR,Wyoming
92,92,Louisiana,65.27052803,27.27272727,36.33939394,86,90,107,-16.54545455,-15.93355041,NR,Louisiana
93,93,Idaho,66.79939262,30,34.30666667,111,84,66,-5,-12.71735814,NR,Idaho
94,94,Utah State,64.1221797,25,26.7,104,81,63,-4.25,-10.79679437,NR,Utah_State
95,95,North Carolina,62.58638002,16.66666667,18.55555556,18,63,109,-11.83333333,-4.641075913,NR,North_Carolina
96,96,Ball State,62.37759977,27.27272727,25.62424242,74,87,98,-13.54545455,-12.32699326,NR,Ball_State
97,97,Arizona,59.01219246,16.66666667,17.8,13,110,103,-20.66666667,-9.147527782,NR,Arizona
98,98,Arkansas State,58.43376682,30,30.68,110,109,113,-23.4,-21.48546836,NR,Arkansas_State
99,99,San José State,58.34216276,20,21.36,106,77,110,-15.6,-14.18124449,NR,San_José_State
100,100,New Mexico State,57.65185148,18.18181818,18.8,96,96,79,-11.27272727,-12.44644256,NR,New_Mexico_State
101,101,Eastern Michigan,55.82394333,20,21.81333333,92,106,85,-15.1,-18.31543469,NR,Eastern_Michigan
102,102,Mississippi State,54.67679282,16.66666667,14.77777778,26,99,114,-20.5,-11.81377557,NR,Mississippi_State
103,103,Vanderbilt,54.79158717,9.090909091,12.38787879,19,104,87,-15.27272727,-7.644100136,NR,Vanderbilt
104,104,Baylor,54.15918416,18.18181818,15.91515152,47,111,115,-25.90909091,-14.25290429,NR,Baylor
105,105,UCF,52.77499322,18.18181818,15.91515152,93,101,81,-13.90909091,-16.44441353,NR,UCF
106,106,Indiana,50.38471267,9.090909091,11.56363636,22,116,100,-21.90909091,-13.59772461,NR,Indiana
107,107,Buffalo,48.65129549,9.090909091,12.38787879,72,112,108,-22.27272727,-17.9940862,NR,Buffalo
108,108,East Carolina,45.66754184,8.333333333,9.277777778,76,100,102,-17.58333333,-17.25406955,NR,East_Carolina
109,109,Louisiana Monroe,44.69405461,10,8.866666667,94,88,117,-22.2,-18.09514235,NR,Louisiana_Monroe
110,110,Central Michigan,43.8958061,10,8.413333333,90,95,101,-15.9,-18.49560936,NR,Central_Michigan
111,111,Temple,43.57421508,9.090909091,5.381818182,42,94,95,-14.09090909,-9.53151505,NR,Temple
112,112,Ohio,41.89298231,9.090909091,5.793939394,85,79,94,-11.18181818,-14.61181323,NR,Ohio
113,113,Illinois,38.85729042,0,3.636363636,7,114,97,-20.18181818,-11.01727801,NR,Illinois
114,114,Iowa State,38.38445435,9.090909091,3.733333333,5,113,112,-24.63636364,-12.67649094,NR,Iowa_State
115,115,UTEP,36.15728451,9.090909091,5.381818182,105,93,116,-21.27272727,-24.93049517,NR,UTEP
116,116,SMU,33.83388935,0,3.333333333,99,117,88,-21,-20.81694775,NR,SMU
117,117,Army,31.95398684,0,3.076923077,84,108,106,-20.76923077,-23.70503252,NR,Army